TagNameGroup,TagName,TagType,Writable,G0,G1,G2
ASF,DRM_DRMHeader,?,false,ASF,ASF,Author
ASF,DRM_DRMHeader_ContentDistributor,?,false,ASF,ASF,Author
ASF,DRM_DRMHeader_ContentID,?,false,ASF,ASF,Author
ASF,DRM_DRMHeader_IndividualizedVersion,?,false,ASF,ASF,Author
ASF,DRM_DRMHeader_KeyID,?,false,ASF,ASF,Author
ASF,DRM_DRMHeader_LicenseAcqURL,?,false,ASF,ASF,Author
ASF,DRM_DRMHeader_SubscriptionContentID,?,false,ASF,ASF,Author
ASF,DRM_IndividualizedVersion,?,false,ASF,ASF,Author
ASF,DRM_KeyID,?,false,ASF,ASF,Author
ASF,DRM_LASignatureCert,?,false,ASF,ASF,Author
ASF,DRM_LASignatureLicSrvCert,?,false,ASF,ASF,Author
ASF,DRM_LASignaturePrivKey,?,false,ASF,ASF,Author
ASF,DRM_LASignatureRootCert,?,false,ASF,ASF,Author
ASF,DRM_LicenseAcqURL,?,false,ASF,ASF,Author
ASF,DRM_V1LicenseAcqURL,?,false,ASF,ASF,Author
ASF,DVDID,?,false,ASF,ASF,Author
ASF,Description,?,false,ASF,ASF,Author
ASF,Director,?,false,ASF,ASF,Author
ASF,Duration,?,false,ASF,ASF,Author
ASF,EncodedBy,?,false,ASF,ASF,Author
ASF,EncodingSettings,?,false,ASF,ASF,Author
ASF,EncodingTime,?,false,ASF,ASF,Time
ASF,FileSize,?,false,ASF,ASF,Time
ASF,Genre,?,false,ASF,ASF,Time
ASF,GenreID,?,false,ASF,ASF,Time
ASF,HasArbitraryDataStream,?,false,ASF,ASF,Time
ASF,HasAttachedImages,?,false,ASF,ASF,Time
ASF,HasAudio,?,false,ASF,ASF,Time
ASF,HasFileTransferStream,?,false,ASF,ASF,Time
ASF,HasImage,?,false,ASF,ASF,Time
ASF,HasScript,?,false,ASF,ASF,Time
ASF,HasVideo,?,false,ASF,ASF,Time
ASF,ISRC,?,false,ASF,ASF,Time
ASF,InitialKey,?,false,ASF,ASF,Time
ASF,IsVBR,?,false,ASF,ASF,Time
ASF,Is_Protected,?,false,ASF,ASF,Time
ASF,Is_Trusted,?,false,ASF,ASF,Time
ASF,Language,?,false,ASF,ASF,Time
ASF,Lyrics,?,false,ASF,ASF,Time
ASF,Lyrics_Synchronised,?,false,ASF,ASF,Time
ASF,MCDI,?,false,ASF,ASF,Time
ASF,MediaClassPrimaryID,?,false,ASF,ASF,Time
ASF,MediaClassSecondaryID,?,false,ASF,ASF,Time
ASF,MediaCredits,?,false,ASF,ASF,Time
ASF,MediaIsDelay,?,false,ASF,ASF,Time
ASF,MediaIsFinale,?,false,ASF,ASF,Time
ASF,MediaIsLive,?,false,ASF,ASF,Time
ASF,MediaIsPremiere,?,false,ASF,ASF,Time
ASF,MediaIsRepeat,?,false,ASF,ASF,Time
ASF,MediaIsSAP,?,false,ASF,ASF,Time
ASF,MediaIsStereo,?,false,ASF,ASF,Time
ASF,MediaIsSubtitled,?,false,ASF,ASF,Time
ASF,MediaIsTape,?,false,ASF,ASF,Time
ASF,MediaNetworkAffiliation,?,false,ASF,ASF,Time
ASF,MediaOriginalBroadcastDateTime,?,false,ASF,ASF,Time
ASF,MediaOriginalChannel,?,false,ASF,ASF,Time
ASF,MediaStationCallSign,?,false,ASF,ASF,Time
ASF,MediaStationName,?,false,ASF,ASF,Time
ASF,ModifiedBy,?,false,ASF,ASF,Time
ASF,Mood,?,false,ASF,ASF,Time
ASF,NSC_Address,?,false,ASF,ASF,Time
ASF,NSC_Description,?,false,ASF,ASF,Time
ASF,NSC_Email,?,false,ASF,ASF,Time
ASF,NSC_Name,?,false,ASF,ASF,Time
ASF,NSC_Phone,?,false,ASF,ASF,Time
ASF,NumberOfFrames,?,false,ASF,ASF,Time
ASF,OptimalBitrate,?,false,ASF,ASF,Time
ASF,OriginalAlbumTitle,?,false,ASF,ASF,Time
